Ticker,Industry,Sector-Code
MOH US Equity,"Consumer, Non-cyclical",3
MOS US Equity,Basic Materials,0
MPC US Equity,Energy,4
MPWR US Equity,Technology,7
MRK US Equity,"Consumer, Non-cyclical",3
MRNA US Equity,"Consumer, Non-cyclical",3
MS US Equity,Financial,5
MSCI US Equity,Technology,7
MSFT US Equity,Technology,7
MSI US Equity,Communications,1
MTB US Equity,Financial,5
MTCH US Equity,Communications,1
MTD US Equity,Industrial,6
MU US Equity,Technology,7
NCLH US Equity,"Consumer, Cyclical",2
NDAQ US Equity,Financial,5
NDSN US Equity,Industrial,6
NEE US Equity,Utilities,8
NEM US Equity,Basic Materials,0
NFLX US Equity,Communications,1
NI US Equity,Utilities,8
NKE US Equity,"Consumer, Cyclical",2
NOC US Equity,Industrial,6
NOW US Equity,Technology,7
NRG US Equity,Utilities,8
NSC US Equity,Industrial,6
NTAP US Equity,Technology,7
NTRS US Equity,Financial,5
NUE US Equity,Basic Materials,0
NVDA US Equity,Technology,7
NVR US Equity,"Consumer, Cyclical",2
NWS US Equity,Communications,1
NWSA US Equity,Communications,1
NXPI US Equity,Technology,7
O US Equity,Financial,5
ODFL US Equity,Industrial,6
OKE US Equity,Energy,4
OMC US Equity,Communications,1
ON US Equity,Technology,7
ORCL US Equity,Technology,7
ORLY US Equity,"Consumer, Cyclical",2
OTIS US Equity,Industrial,6
OXY US Equity,Energy,4
PANW US Equity,Communications,1
PARA US Equity,Communications,1
PAYC US Equity,Technology,7
PAYX US Equity,Technology,7
PCAR US Equity,"Consumer, Cyclical",2
PCG US Equity,Utilities,8
PEG US Equity,Utilities,8
PEP US Equity,"Consumer, Non-cyclical",3
PFE US Equity,"Consumer, Non-cyclical",3
PFG US Equity,Financial,5
PG US Equity,"Consumer, Non-cyclical",3
PGR US Equity,Financial,5
PH US Equity,Industrial,6
PHM US Equity,"Consumer, Cyclical",2
PKG US Equity,Industrial,6
PLD US Equity,Financial,5
PLTR US Equity,Technology,7
PM US Equity,"Consumer, Non-cyclical",3
PNC US Equity,Financial,5
PNR US Equity,Industrial,6
PNW US Equity,Utilities,8
PODD US Equity,"Consumer, Non-cyclical",3
POOL US Equity,"Consumer, Cyclical",2
PPG US Equity,Basic Materials,0
PPL US Equity,Utilities,8
PRU US Equity,Financial,5
PSA US Equity,Financial,5
PSX US Equity,Energy,4
PTC US Equity,Technology,7
PWR US Equity,"Consumer, Non-cyclical",3
PYPL US Equity,"Consumer, Non-cyclical",3
QCOM US Equity,Technology,7
RCL US Equity,"Consumer, Cyclical",2
REG US Equity,Financial,5
REGN US Equity,"Consumer, Non-cyclical",3
RF US Equity,Financial,5
RJF US Equity,Financial,5
RL US Equity,"Consumer, Cyclical",2
RMD US Equity,"Consumer, Non-cyclical",3
ROK US Equity,Industrial,6
ROL US Equity,"Consumer, Non-cyclical",3
ROP US Equity,Technology,7
ROST US Equity,"Consumer, Cyclical",2
RSG US Equity,Industrial,6
RTX US Equity,Industrial,6
RVTY US Equity,"Consumer, Non-cyclical",3
SBAC US Equity,Financial,5
SBUX US Equity,"Consumer, Cyclical",2
SCHW US Equity,Financial,5
SHW US Equity,Basic Materials,0
SJM US Equity,"Consumer, Non-cyclical",3
SLB US Equity,Energy,4
SMCI US Equity,Technology,7
SNA US Equity,Industrial,6
SNPS US Equity,Technology,7
SO US Equity,Utilities,8
SOLV US Equity,"Consumer, Non-cyclical",3
SPG US Equity,Financial,5
SPGI US Equity,"Consumer, Non-cyclical",3
SRE US Equity,Utilities,8
STE US Equity,"Consumer, Non-cyclical",3
STLD US Equity,Basic Materials,0
STT US Equity,Financial,5
STX US Equity,Technology,7
STZ US Equity,"Consumer, Non-cyclical",3
SW US Equity,Industrial,6
SWK US Equity,Industrial,6
SWKS US Equity,Technology,7
SYF US Equity,Financial,5
SYK US Equity,"Consumer, Non-cyclical",3
SYY US Equity,"Consumer, Non-cyclical",3
T US Equity,Communications,1
TAP US Equity,"Consumer, Non-cyclical",3
TDG US Equity,Industrial,6
TDY US Equity,Industrial,6
TECH US Equity,"Consumer, Non-cyclical",3
TEL US Equity,Industrial,6
TER US Equity,Technology,7
TFC US Equity,Financial,5
TGT US Equity,"Consumer, Cyclical",2
TJX US Equity,"Consumer, Cyclical",2
TKO US Equity,"Consumer, Cyclical",2
TMO US Equity,"Consumer, Non-cyclical",3
TMUS US Equity,Communications,1
TPL US Equity,Energy,4
TPR US Equity,"Consumer, Cyclical",2
TRGP US Equity,Energy,4
TRMB US Equity,Industrial,6
TROW US Equity,Financial,5
